Day,Plant Height,Greenery
2,0,0.6330299377441406
3,0,0.6283467610677084
4,0,0.6261825561523438
5,0,0.6254933675130209
6,0,0.619317372639974
7,0,0.6171951293945312
8,0,0.6162490844726562
9,0,0.6092211405436198
10,0,0.6115735371907552
11,0,0.6060078938802084
12,0,0.5577596028645834
13,0,0.09177780151367188
14,0,0.030072530110677082
